,country,code,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,population,population_growth,property_rights,integrity,tax_burden,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
334,Germany,DE,2017,15.6,22.4,7,10.2,35380,65.1,82656997,0.003737,82.9,77.7,61.9,41.4,86.6,42.8,85.9,87,80,70,81,29.1
335,Greece,EL,2017,11.5,16,8.2,14.5,17100,179.2,10754679,-0.001978,52.5,41.3,61.1,5.4,74.3,51,78.2,82,60,40,48,33.4
336,Hungary,HU,2017,12.9,17.7,5.1,15.6,12010,72.2,9787969,-0.002659,60.1,41.5,79.3,25.3,64,64.4,91.7,87,75,70,45,28.1
337,Ireland,IE,2017,3.8,9.8,5.5,7.5,53890,67,4792490,0.011098,85.8,78.3,72.7,57.1,80.3,73.6,87.6,87,90,70,74,30.6
338,Italy,IT,2017,12.7,20.7,10,11.1,26490,134.1,60536713,-0.001498,74.6,44.7,54.9,22.3,69.8,52.9,86.9,87,85,50,50,32.7
339,Latvia,LV,2017,8.4,14.4,3.7,13.2,11620,39,1942247,-0.008862,72.6,67.3,84.7,57.4,79.8,72,86.5,87,75,60,58,34.5
340,Lithuania,LT,2017,12.2,14.9,3.2,11.4,12760,39.1,2828398,-0.013986,73,69.7,86.9,64.1,79.1,63.6,90,87,70,70,59,37.6
341,Luxembourg,LU,2017,10.8,16.7,12.1,8.9,82550,22.3,596337,0.021832,85.8,78.3,64.5,46,68.6,43.8,86.2,87,95,80,82,29.2
342,Malta,MT,2017,5.3,11,9.2,11.6,21250,48.8,468005,0.027402,67.7,53.6,62.8,44.9,62.5,57.2,83.5,87,85,60,56,28.2
343,Netherlands,NL,2017,13.8,20,7.4,11.3,40730,56.9,17131295,0.005912,87.4,85.7,53.2,37,80.2,70.5,85.8,87,90,80,82,27.1
344,Poland,PL,2017,12.9,13.8,8.1,12.2,11790,50.6,38422346,-0.000116,60.8,55.5,76,46.9,67.8,61.5,84.7,87,75,70,60,29.2
345,Portugal,PT,2017,9.2,14.4,7,12.7,17650,126.1,10300300,-0.002439,73.3,59,59.8,25.1,86.4,43.4,85.9,87,70,60,63,33.5
346,Romania,RO,2017,8.4,10.7,4.3,9.9,8280,35.1,19588146,-0.006025,63.9,45.9,87.4,65.3,65.9,62.5,83.6,87,75,50,48,33.1
347,Slovakia,SK,2017,14.7,17.9,4.7,11.4,14980,51.7,5439232,0.001552,69,39.6,79.7,47.2,64.9,54.4,81.1,87,75,70,50,23.2
348,Slovenia,SI,2017,15.4,18.7,4.8,13.9,19430,74.1,2066161,0.00093,75,53.6,58.7,28.6,80.6,60.2,85.3,87,70,50,61,23.7
349,Spain,ES,2017,11.5,16.4,8,9.5,24430,98.6,46532869,0.001785,71.2,57.2,62.5,41.4,66.9,55.3,85.5,87,85,70,57,34.1
350,Sweden,SE,2017,2.7,25.7,6.2,12.2,43430,40.7,10057695,0.013474,88.6,87.4,44.4,21.7,90.8,53.2,85.3,87,85,80,84,28
351,Austria,AT,2018,14.7,23.4,7.5,11.4,37800,74,8837707,0.004836,83.5,73.5,49.9,19.4,75.5,66.7,83.7,86.9,90,70,76,26.8
352,Belgium,BE,2018,13.4,22.4,11.2,11,35510,99.8,11403740,0.004805,81.2,70.9,44,12.1,80.6,59.5,82.6,86.9,85,70,75,25.7
353,Bulgaria,BG,2018,8.7,10.9,5,14,6550,22.3,7025037,-0.007221,63.6,38.2,90.9,60.5,64.3,66.1,82.8,86.9,70,60,42,39.6
354,Croatia,HR,2018,12,14.3,4.9,19.4,12040,74.3,4080666,-0.010692,65.9,40.5,66,32.5,58.9,43,79.1,87.4,75,60,48,29.7
355,Cyprus,CY,2018,8.7,11.9,8.1,13.9,24120,99.2,869006,0.010976,71.2,41.3,75.2,52.9,77,55.7,83,86.9,75,60,59,29.1
356,Czechia,CZ,2018,15.6,18.7,5.5,11.9,17980,32.1,10626430,0.003479,73,51.1,82.9,48.6,72.5,76.8,85.2,86.9,80,80,59,24
357,Denmark,DK,2018,0,23.2,7.6,14.2,48530,34,5789957,0.005067,84.8,84.1,41.4,10.6,92.5,82.8,86.4,86.9,90,80,88,27.8
358,Estonia,EE,2018,11.4,16.6,2.8,13.4,15070,8.2,1321977,0.00348,80.4,75.7,80.7,52.6,75.6,54.8,85.1,86.9,90,80,73,30.6
359,Finland,FI,2018,11.8,20.9,7.1,14.2,36900,59.6,5515525,0.001327,89,89.8,66.5,2.3,89.9,50.5,86,86.9,85,80,85,25.9
360,France,FR,2018,16.2,23.9,10.8,11.7,32860,98.1,66941698,0.001677,84,65.1,47.3,2.7,80.2,45,81.6,81.9,75,70,72,28.5
361,Germany,DE,2018,15.8,22.8,7.1,10.2,35720,61.8,82914191,0.003107,81,75.3,61.3,41.3,86.1,53.3,86.2,86.9,80,70,80,31.1
362,Greece,EL,2018,11.6,16.1,8.2,14.6,17400,186.2,10725886,-0.002681,52.3,37.9,60.4,20.9,74.4,54.4,81,81.9,55,40,45,32.3
363,Hungary,HU,2018,12.3,17.2,4.4,16,12680,69.1,9767600,-0.002083,57.6,36.4,78.6,29.4,61.8,68.7,91.6,86.9,80,70,46,28.7
364,Ireland,IE,2018,3.8,9.7,6,7,57780,63,4857015,0.013374,87.7,79,76.1,69.6,81.8,76.4,87.4,86.9,90,70,73,28.9
365,Italy,IT,2018,13,21,9.6,11.1,26780,134.4,60421797,-0.0019,71.2,40.1,55.2,24.1,70.3,50.3,88.2,86.9,85,50,52,33.4
366,Latvia,LV,2018,9.1,14.4,3,13.5,12180,37.1,1927170,-0.007793,68.3,45.4,84,59,80.1,72.5,87.3,86.9,85,60,58,35.6
367,Lithuania,LT,2018,12.7,15.6,3.2,11.4,13390,33.7,2801541,-0.009541,73.8,50.9,86.4,63.9,73.4,64.5,89.9,86.9,80,70,59,36.9
368,Luxembourg,LU,2018,10.8,17,13.2,9.1,83470,21,607950,0.019287,82.7,79,65.1,48.5,69.2,46.2,87.6,86.9,95,80,81,31.3
369,Malta,MT,2018,5.3,11.7,8.3,11.9,21580,45.2,483793,0.033178,68.1,49.9,64.7,51,64,61.1,78.8,86.9,85,60,54,28.7
370,Netherlands,NL,2018,14,20,7.3,11.4,41450,52.4,17231622,0.005839,87.9,86,52.5,39.1,80.5,61.5,87.5,86.9,90,80,82,27.4
371,Poland,PL,2018,13.3,14.2,8.4,12.6,12420,48.8,38413139,-0.00024,61.8,50.9,75.9,47.8,67.2,63.9,85,86.9,75,70,60,27.8
372,Portugal,PT,2018,9.4,14.7,7.3,12.9,18190,121.5,10283822,-0.001601,69.2,56.8,59.8,29.8,83.2,44.1,85.3,86.9,70,60,64,32.1
373,Romania,RO,2018,10.6,12.3,3.7,10.3,8700,34.7,19471332,-0.005981,61,40,87.3,66.9,65.2,66.8,82.8,86.9,75,50,47,35.1
374,Slovakia,SK,2018,14.8,18.2,4.6,11.3,15520,49.9,5446771,0.001385,68.2,38.2,78.9,44.3,63.9,54,81,86.9,75,70,50,20.9
375,Slovenia,SI,2018,15.5,19,4.9,13.8,20220,70.3,2070050,0.00188,76.6,52.1,58.7,31.2,79.5,61.3,87.3,86.9,70,50,60,23.4
376,Spain,ES,2018,11.7,16.8,8.3,9.6,24910,97.4,46733038,0.004292,73.1,51.5,62,42.8,66.3,59,86.7,86.9,85,70,58,33.2
377,Sweden,SE,2018,2.8,25.5,6.1,12.2,43760,38.9,10175214,0.011617,92.6,92.9,43.9,23.2,89.3,53.7,83.8,86.9,85,80,85,27
378,Austria,AT,2019,14.9,23.7,7.5,11.4,38170,70.5,8879920,0.004765,84.2,77.4,50.5,24.5,74.9,68.7,81.5,86,90,70,77,25.1
379,Belgium,BE,2019,13.3,21.9,10.6,10.8,35950,98.1,11488980,0.007447,81.3,72.5,47.1,15.2,78.1,61,76.1,86,85,70,75,24
380,Bulgaria,BG,2019,8.9,11.1,4.8,14.3,6840,20.2,6975761,-0.007039,62.5,35.1,90.2,63.9,62.7,68.4,88,86,70,60,43,40.8
381,Croatia,HR,2019,11.6,13.9,5,19.6,12450,72.8,4065253,-0.003784,66,38.6,66.4,33.4,60.7,44,78.5,86,75,60,47,27.5
382,Cyprus,CY,2019,10.7,14,8.5,13,24530,94,1198574,0.321538,73.1,43.7,74.9,55.2,76.9,59.5,84,86,75,60,58,29.7
383,Czechia,CZ,2019,15.5,19.2,5.3,11.6,18460,30.3,10671870,0.004267,74.8,52.1,82.6,52.1,72.4,78.1,81.5,86,80,80,56,30.5
384,Denmark,DK,2019,0,22.8,9.8,13.4,49270,33.3,5814422,0.004217,86.2,85.8,42,14.4,90.7,86.4,84.1,86,90,80,87,28.3
385,Estonia,EE,2019,11.6,16.7,2.6,13.7,15510,8.4,1326898,0.003716,81.5,73.1,79.9,51.1,75.3,57.2,79.6,86,90,70,80,31
386,Finland,FI,2019,11.8,20.9,7.3,14,37200,59.5,5521606,0.001102,89.6,92.5,66.8,7.2,89.4,50.3,84.8,86,85,80,86,33
387,France,FR,2019,14.9,22.9,11,11.7,33320,97.6,67248926,0.004579,82.5,67.9,48.4,3.9,81.2,45.2,79.1,81,75,70,69,29.2
388,Germany,DE,2019,16,23.2,6.9,10.2,35980,59.7,83092962,0.002154,79.9,81.3,60.8,42.3,83.3,52.8,77.9,86,80,70,80,29.2
389,Greece,EL,2019,12.2,16.4,8.2,14.9,17750,180.5,10721582,-0.000401,52.4,37.7,59.1,23.3,74.1,52.5,79.1,81,55,50,48,32.8
390,Hungary,HU,2019,11.7,16.7,4.2,15.6,13270,65.5,9771141,0.000362,60.9,35.3,78.6,31.7,61.1,64.7,81.8,86,80,70,44,31.1
391,Ireland,IE,2019,3.9,9.6,5.7,6.8,60130,57.4,4934340,0.015795,85.8,78,76.3,77.4,83.1,75.3,87,86,90,70,74,35.2
392,Italy,IT,2019,13.2,21.2,9.8,11.3,27180,134.6,59729081,-0.011531,71.7,43.7,55.6,26.5,71.7,51.1,84,86,85,50,53,35.4
393,Latvia,LV,2019,9.6,15.1,2.4,13.3,12510,37,1913822,-0.00695,67.3,35.5,77,57.1,77.5,73.3,81.1,86,85,60,56,32.3
394,Lithuania,LT,2019,9.6,15.2,3.5,11.4,14010,35.9,2794137,-0.002646,73.6,47.8,86.4,65.1,75.2,63.6,84.6,86,80,70,60,28
395,Luxembourg,LU,2019,10.8,17.9,12.3,9,83640,22,620001,0.019628,83,85.8,65.4,46.6,68.8,45.9,82.6,86,95,80,80,28
396,Malta,MT,2019,5.2,11.8,8.2,11.3,22720,42,504062,0.041042,69.8,50.3,64.2,56.1,67.1,61.3,78.2,86,85,60,54,26.8
397,Netherlands,NL,2019,13.5,19.6,7.9,11.8,41980,48.7,17344874,0.006551,88,89.1,51.6,42.9,81.4,60.3,84,86,90,80,82,27.5
398,Poland,PL,2019,13.2,14.2,8.6,12.3,13020,45.6,37965475,-0.011722,62.3,49.8,74.9,48.8,65.4,63.9,82.1,86,80,70,58,28.5
399,Portugal,PT,2019,9.6,14.8,7,12.8,18630,116.8,10286263,0.000237,71.5,59.5,59.9,35.6,79.7,44.3,83,86,70,60,62,31.9
400,Romania,RO,2019,10.5,12,3.9,10.2,9110,35.3,19371648,-0.005133,66.7,39.8,89.7,69,63.1,64.5,82.7,86,70,50,44,34.8
401,Slovakia,SK,2019,15,18.7,4.3,11.4,15860,48.2,5454147,0.001353,68.5,37.7,78.6,46.1,61.3,53.4,78.6,86,75,70,50,23.9
402,Slovenia,SI,2019,15.7,19.1,5,13.3,20720,65.6,2088385,0.008818,76.4,53.6,58.4,38.3,79.3,61.2,83.6,86,70,50,60,22.8
403,Spain,ES,2019,12.3,17.5,7.8,9.4,25200,95.5,47133521,0.008533,72.9,51.9,62.3,46.2,66.8,57.8,87.5,86,85,70,62,26.2
404,Sweden,SE,2019,2.8,25,5.9,12.1,44180,35,10278887,0.010137,89.5,88,43.2,26.7,88,53.9,82,86,85,80,85,27.6
