,country,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,property_rights,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
9,France,2005,1.4464378311353414,1.1709402744621586,1.3896932609056445,-0.368442341723246,0.3324517824629679,0.1526842085389042,-0.019383295406205224,-1.4896360180879489,-0.7512967867239294,-0.44016011945827216,1.1352183665416948,-1.6164737462170138,-0.5153418032640427,-1.559505900387618,-0.9605692157491746,-0.5255652905372871
188,Sweden,2011,-2.0412681816648166,1.5130210182750974,-0.40513825338327486,0.07101195656904219,0.9827171810439547,-0.6607786243579189,1.073203293252585,-1.1323020407355173,1.715266107432938,-0.46300384869417816,-0.3018468415804633,0.6214105005551513,0.7294699083976117,0.9402304108296897,-0.9018471335278437,-0.9598568202239429
16,Lithuania,2005,-0.6665519430428564,-0.5822235375791506,-1.406904679963137,-0.710240129283915,-1.0392401337890003,-1.1873008004452459,-1.1119698840649956,1.5365361026154554,-0.7512967867239294,-0.32594147327874096,2.1338569009994632,-0.46728994382049605,-0.5153418032640427,1.7734758479021255,-1.048652339081171,1.6714389184657956
186,Slovenia,2011,1.242776166154311,0.5081588333245902,-0.9060214666732059,0.7057792763245688,-0.43130333190809667,-0.40169628374351984,-0.5656765897356004,0.19653368754383752,0.5905134276974059,-1.3919821709543654,-0.20441869187726486,0.6214105005551513,-0.5153418032640427,-1.559505900387618,-1.0127666221681355,-1.5218811527596152
0,Austria,2005,0.9627413768053928,1.3419806463686281,0.012264424358334343,-0.026644554162577896,0.5404140184242457,0.09139591290969142,1.073203293252585,-0.8363848407405349,-0.7512967867239294,1.0294531280516956,1.3787887407996875,-1.6164737462170138,-0.5153418032640427,0.10698497375725381,-0.9214211609349541,-0.8832171385145329
105,Slovenia,2008,1.0136567930506502,0.4440186938596648,-0.5720993244799186,0.46163799949552076,-0.35032688604706813,-1.0897966937624077,-1.1119698840649956,-0.2445504407505701,-0.3467804720822037,-1.3462947124825528,-0.4479890661352575,0.13754363638819786,-1.3452162777051455,-1.559505900387618,-0.986667918958655,-1.624067395038829
192,Croatia,2012,0.19901013312652613,-0.5394634446025335,-1.1564630733181713,2.658909490956961,-0.8950775218394419,0.25575997846076154,-1.6582631783943906,0.4142840799929754,-1.4024693907813426,-1.1940031842431778,0.014794644954929931,0.5911688215447183,-0.5153418032640427,-0.7262604633151821,0.29543087620706876,0.2919246476964181
214,Spain,2012,0.2499255493717837,-0.04772237537143432,0.3044462987774609,-1.9309465134291603,-0.1730375462452708,0.7070647008213278,-0.019383295406205224,-0.02680004830143219,0.36358964143497435,-0.6305245297574907,0.03915168238072781,0.4702021055029778,0.3145326711770603,0.9402304108296897,0.9152750774322278,1.1349611464999279
344,Poland,2017,0.5554180468433307,-0.6891237700206935,0.596628173196587,0.022183701203232577,-0.8042857492073796,-0.28747718734362343,-0.521973126189249,0.5203676045194784,-0.968354321409734,0.10808938220347776,0.818576880006305,0.43996042649254485,-0.10040456604349117,0.10698497375725381,0.7521581823729755,-0.1423668819902377
70,Lithuania,2007,-0.4119748618165674,-0.47532330513760734,-1.0729825377698499,-0.4660988524548661,-0.9282042496916808,-1.229088274737891,-1.1119698840649956,1.854786676194965,0.6595771887337984,-0.21172282709920978,-0.05827646732247064,0.3189937104508043,-0.5153418032640427,0.9402304108296897,-1.048652339081171,1.0327749042207133
38,Greece,2006,-0.10648236434502087,-0.838784095438855,0.09574495990665625,-0.5149271078206757,-0.18776053640182144,1.2586593614842418,-1.1119698840649956,0.9112016422487004,-0.43557673627185006,-0.11273333374361576,-0.642845365541651,-0.9511568079874495,-2.1750907521462484,-1.559505900387618,-1.0617016906859111,1.1605077070697298
150,Latvia,2010,-0.5392634024297123,-0.560843491090842,-1.6156060188339416,-0.4660988524548661,-1.004886490090382,-0.3626946410703845,-0.8388232369002979,1.1066186611133113,-0.4651754910017322,-0.07466045168377203,-3.4926187443601657,0.5911688215447183,0.3145326711770603,-1.559505900387618,-1.0649640285870963,1.5692526761865828
211,Romania,2012,-0.5138056943070826,-1.2663850252050273,-1.0729825377698499,0.217496722666471,-1.1288049905746833,-0.6635644559774285,-1.6582631783943906,0.9782017630022815,-0.701965528840792,0.16139141708725918,-1.71455501227682,0.4702021055029778,0.3145326711770603,-1.559505900387618,0.23018411818336781,1.0838680253603206
267,Slovenia,2014,1.1664030417864242,0.3157384149298126,-0.9060214666732059,1.0964053192510474,-0.4466397799878369,0.5399148036507477,-0.5656765897356004,-0.8363848407405349,0.7681059560767015,-0.6914411410532405,-0.2531327667288641,0.6818938585760216,-0.5153418032640427,-1.559505900387618,0.6869114243492745,-1.215322425921976
